unit, company, sq_feet, website
A, Ashton Video & TV Services Ltd, 1000, https://www.ashtontv.co.uk/
B, Simvionics Ltd, 731, https://www.facebook.com/Simvionics/?locale=en_GB
C, Asthon Video & TV Services Ltd, 109, https://www.ashtontv.co.uk/
D, Designer Contracts Ltd, 300, https://www.designercontracts.com/
E, Astra Office Suites, 100, https://www.astrabusinesscentre.co.uk/
F, #NONE, 200, 
1, Designer Contracts Ltd, 301, https://www.designercontracts.com/
2, Designer Contracts Ltd, 302, https://www.designercontracts.com/
3, North West Laboratories Ltd, 822, https://northwestlabs.co.uk/
4, Astra Door Controls Ltd, 687, https://www.astradoorcontrols.com/
5, Pyroglass Ltd, 911, https://www.pyroglass.com/
6, Alusid Ltd, 992, https://www.alusid.co.uk/
7, Lancashire Care NHS Trust, 777, https://www.lscft.nhs.uk/
8, Longridge Gymnastics Ltd, 4672, https://www.longridgegc.com/
9, Seward Precision Laser Ltd, 2267, https://www.sewardprecision.co.uk/
10, RS Scaffolding Services Ltd, 722, https://rsscaffolding.co.uk/
